Step,Current Stock Price,Action,Buy and Hold Portfolio Value,DQN Agent Portfolio Value
128,45.374,tensor([[4]]),463740.0,463740.0
129,45.381,tensor([[0]]),463810.0,463797.23199999996
130,45.374,tensor([[3]]),463740.0,463797.23199999996
131,45.377,tensor([[5]]),463770.0,463815.62799999997
132,45.379,tensor([[5]]),463790.0,463836.0699999999
133,45.372,tensor([[5]]),463720.0,463764.5229999999
134,45.354,tensor([[6]]),463540.0,463580.5449999999
135,45.355,tensor([[7]]),463549.99999999994,463580.03399999987
136,45.362,tensor([[3]]),463620.0,463572.87999999995
137,45.369,tensor([[8]]),463690.0,463615.7969999999
138,45.385,tensor([[8]]),463850.0,463591.285
139,45.384,tensor([[4]]),463840.0,463592.817
140,45.385,tensor([[4]]),463850.0,463600.98799999995
141,45.384,tensor([[4]]),463840.0,463592.817
142,45.38,tensor([[0]]),463800.0,463560.13300000003
143,45.372,tensor([[10]]),463720.0,463560.13300000003
144,45.372,tensor([[4]]),463720.0,463560.13300000003
145,45.373,tensor([[6]]),463730.0,463568.306
146,45.374,tensor([[10]]),463740.0,463567.796
147,45.375,tensor([[6]]),463750.0,463565.24199999997
148,45.374,tensor([[6]]),463740.0,463565.752
149,45.381,tensor([[1]]),463810.0,463562.182
150,45.379,tensor([[3]]),463790.0,463558.09799999994
151,45.379,tensor([[5]]),463790.0,463558.09799999994
152,45.387,tensor([[6]]),463870.0,463639.81799999997
153,45.381,tensor([[4]]),463810.0,463642.87799999997
154,45.386,tensor([[2]]),463860.0,463683.743
155,45.381,tensor([[2]]),463810.0,463663.313
156,45.374,tensor([[7]]),463740.0,463634.711
157,45.384,tensor([[4]]),463840.0,463624.50100000005
158,45.372,tensor([[6]]),463720.0,463526.43700000003
159,45.381,tensor([[0]]),463810.0,463521.84700000007
160,45.371,tensor([[1]]),463710.0,463521.84700000007
161,45.372,tensor([[9]]),463720.0,463523.8900000001
162,45.386,tensor([[6]]),463860.0,463495.28800000006
163,45.381,tensor([[10]]),463810.0,463497.83800000005
164,45.379,tensor([[10]]),463790.0,463502.9440000001
165,45.377,tensor([[8]]),463770.0,463508.05000000005
166,45.372,tensor([[0]]),463720.0,463515.7100000001
167,45.381,tensor([[4]]),463810.0,463515.7100000001
168,45.382,tensor([[0]]),463820.0,463523.88100000005
169,45.386,tensor([[9]]),463860.0,463523.88100000005
170,45.384,tensor([[9]]),463840.0,463527.9650000001
171,45.386,tensor([[1]]),463860.0,463523.8810000001
172,45.388,tensor([[0]]),463880.0,463527.9650000001
173,45.385,tensor([[8]]),463850.0,463527.9650000001
174,45.386,tensor([[2]]),463860.0,463526.4340000001
