Step,Current Stock Price,Action,Buy and Hold Portfolio Value,DQN Agent Portfolio Value
81,179.405,4,28015.187631615892,27876.238999999998
82,179.35,7,28006.59904534606,27870.793999999994
83,179.48,0,28026.899340165663,27882.49399999999
84,179.43,9,28019.09153446582,27877.993999999995
85,179.35,7,28006.59904534606,27872.233999999997
86,179.269,5,27993.950400112317,27866.969
87,179.33,6,28003.475923066126,27872.276
88,179.42,0,28017.529973325843,27879.745999999992
89,179.494,9,28029.085525761617,27885.887999999995
90,179.45,3,28022.21465674575,27882.939999999995
91,179.41,10,28015.968412185874,27879.739999999994
92,179.43,5,28019.09153446582,27880.939999999995
93,179.34,7,28005.037484206096,27873.47
94,179.346,8,28005.974420890077,27873.92
95,179.41,6,28015.968412185874,27878.016
96,179.385,10,28012.064509335956,27876.490999999995
97,179.53,4,28034.707145865505,27883.160999999996
98,179.58,2,28042.514951565357,27886.510999999995
99,179.525,10,28033.926365295523,27882.385999999995
100,179.555,3,28038.61104871543,27884.096
101,179.52,9,28033.14558472554,27881.611
102,179.53,6,28034.707145865505,27882.181
103,179.515,0,28032.36480415555,27881.355999999992
104,179.575,10,28041.73417099537,27884.655999999995
105,179.57,9,28040.95339042538,27884.445999999996
106,179.58,1,28042.514951565357,27884.786
107,179.728,1,28065.6260564369,27890.706
108,179.71,4,28062.815246384955,27889.896
109,179.77,7,28072.184613224767,27893.916
110,179.705,3,28062.034465814966,27889.951
111,179.705,10,28062.034465814966,27889.951
112,179.708,5,28062.502934156957,27890.122
113,179.815,1,28079.21163835463,27898.789
114,179.835,8,28082.334760634567,27900.469
115,179.85,8,28084.677102344518,27901.548999999995
116,179.855,7,28085.457882914503,27901.859
117,179.855,10,28085.457882914503,27901.859
118,179.765,3,28071.40383265478,27898.079
119,179.765,5,28071.40383265478,27898.078999999994
120,179.81,9,28078.430857784642,27901.768999999997
121,179.825,2,28080.773199494593,27902.75899999999
122,179.915,2,28094.82724975432,27909.418999999994
123,179.825,2,28080.773199494593,27902.038999999997
124,179.855,8,28085.457882914503,27904.708999999995
125,179.88,6,28089.361785764424,27906.608999999997
126,179.91,10,28094.046469184337,27908.79899999999
127,179.955,2,28101.073494314198,27911.273999999998
128,179.935,6,28097.95037203426,27909.973999999995
129,179.84,0,28083.11554120455,27904.083999999995
130,179.855,3,28085.457882914503,27905.014
131,179.895,6,28091.70412747438,27908.014
132,179.805,10,28077.65007721466,27901.533999999992
133,179.795,2,28076.088516074688,27900.99399999999
134,179.805,6,28077.65007721466,27901.633999999995
135,179.735,2,28066.719149234876,27897.363999999998
136,179.8,9,28076.869296644672,27901.914
137,179.895,9,28091.70412747438,27907.234
138,179.865,0,28087.019444054473,27905.883999999995
139,179.91,0,28094.046469184337,27907.909
140,179.93,3,28097.169591464273,27908.808999999997
141,179.845,3,28083.896321774537,27903.624
142,179.821,9,28080.148575038605,27901.823999999997
143,179.9,0,28092.484908044367,27906.563999999995
144,179.838,9,28082.803228976554,27902.843999999997
145,179.83,0,28081.553980064586,27902.459999999995
146,179.86,2,28086.23866348449,27903.899999999998
147,179.905,2,28093.26568861435,27906.509999999995
148,179.95,2,28100.29271374421,27909.524999999998
149,179.965,3,28102.635055454168,27910.649999999998
150,179.96,0,28101.85427488418,27910.215
151,179.99,2,28106.538958304092,27912.825
152,179.98,10,28104.977397164115,27911.895
153,179.955,3,28101.073494314198,27910.145
154,179.93,0,28097.169591464273,27908.094999999998
155,179.84,2,28083.11554120455,27900.715
