Step,Current Stock Price,Action,Buy and Hold Portfolio Value,DQN Agent Portfolio Value
0,213.436,4,31343.600000000002,31343.600000000002
1,213.28,1,31320.691017447854,31326.596
2,212.62,7,31223.768398958004,31253.996
3,213.095,7,31293.523313780246,31301.021
4,213.141,5,31300.278526584083,31305.161
5,213.428,0,31342.425180381942,31335.009
6,213.66,6,31376.49494930565,31359.137
7,213.73,8,31386.77462096366,31366.067
8,213.94,4,31417.613635937705,31383.917
9,214.03,7,31430.83035664087,31392.646999999997
10,213.82,8,31399.991341666824,31374.166999999998
11,213.7,8,31382.36904739594,31365.166999999998
12,213.64,9,31373.5579002605,31361.326999999997
13,213.995,6,31425.690520811862,31379.786999999997
14,213.92,5,31414.676586892558,31376.037
15,214.17,1,31451.389699956897,31394.537
16,214.12,4,31444.047077344032,31390.687
17,214.522,5,31503.081763151484,31426.867
18,214.52,8,31502.788058246973,31426.659000000003
19,214.418,9,31487.809108116722,31417.581000000002
20,214.445,6,31491.77412432767,31419.525
21,214.565,0,31509.39641859855,31427.805
22,214.77,5,31539.50117131131,31441.95
23,214.67,2,31524.815926085572,31433.149999999998
24,214.889,5,31556.976613129937,31453.517
25,214.923,7,31561.969596506682,31457.121
26,214.49,5,31498.382484679252,31415.553
27,214.209,10,31457.116945594935,31385.204999999998
28,214.64,0,31520.41035251785,31420.115999999998
29,214.8,1,31543.90674487903,31433.075999999997
30,214.86,7,31552.717892014472,31438.116
31,214.96,9,31567.403137240206,31445.716
32,215.14,10,31593.836578646526,31456.695999999996
33,215.09,2,31586.49395603366,31454.395999999997
34,215.075,9,31584.2911692498,31453.555999999997
35,215.155,7,31596.039365430388,31457.155999999995
36,215.536,10,31651.99014974044,31472.776999999995
37,215.826,3,31694.57736089507,31481.766999999996
38,215.951,5,31712.93391742724,31487.766999999993
39,216.05,1,31727.47231020072,31494.894999999997
40,215.851,4,31698.248672201506,31479.969999999994
41,215.87,8,31701.038868794396,31481.660999999996
42,215.5,4,31646.703461459176,31453.540999999997
43,215.538,4,31652.283854644957,31456.922999999995
44,215.47,3,31642.297887891455,31450.122999999996
45,215.036,1,31578.563923611764,31404.118999999995
46,214.88,6,31555.654941059616,31387.270999999997
47,215.21,4,31604.116250304545,31421.261
48,215.541,7,31652.724412001728,31458.001999999993
49,215.582,7,31658.745362544276,31462.101999999995
50,215.76,9,31684.885099046085,31478.121999999992
51,215.525,5,31650.37477276561,31461.201999999997
52,215.412,2,31633.78044566053,31451.031999999996
53,215.828,10,31694.871065799587,31490.551999999996
54,215.855,5,31698.836082010534,31492.495999999992
55,216.336,6,31769.47211154632,31535.785999999996
56,216.45,2,31786.213291103657,31545.589999999997
57,216.5,8,31793.555913716526,31550.139999999996
58,216.55,2,31800.898536329394,31554.039999999997
59,216.37,4,31774.46509492307,31538.92
60,216.708,0,31824.101223786056,31571.367999999995
61,216.743,3,31829.241059615062,31574.727999999996
62,216.879,3,31849.212993122062,31588.735999999997
63,216.67,7,31818.520830600275,31565.954999999994
64,216.725,10,31826.59771547443,31571.399999999994
65,216.692,9,31821.75158454994,31568.924999999996
66,216.48,7,31790.618864671378,31556.204999999994
67,216.635,4,31813.38099477127,31564.574999999997
68,217.07,2,31877.261811503216,31595.894999999997
69,216.993,5,31865.9541726794,31589.811999999998
70,216.575,0,31804.569847635827,31550.101999999995
71,216.53,0,31797.961487284247,31545.826999999994
72,216.236,4,31754.786866320585,31517.896999999994
73,216.639,4,31813.9684045803,31560.211999999996
74,216.82,5,31840.548698438877,31580.664999999994
75,216.97,4,31862.57656627748,31598.814999999995
76,216.61,7,31809.709683464836,31553.814999999995
77,216.6,5,31808.24115894226,31552.684999999994
78,216.785,6,31835.40886260987,31575.069999999996
79,216.82,10,31840.548698438877,31579.094999999994
80,216.82,6,31840.548698438877,31579.094999999994
81,216.55,0,31800.898536329394,31556.684999999998
82,216.44,3,31784.744766581083,31547.554999999993
83,215.905,7,31706.178704623402,31498.334999999992
84,216.09,9,31733.346408291014,31513.689999999995
85,216.272,8,31760.073554601848,31525.88399999999
86,216.454,8,31786.80070091269,31536.257999999994
87,216.468,10,31788.85663524429,31536.943999999996
88,215.965,6,31714.989851758844,31518.333
89,216.068,8,31730.115654341353,31522.040999999997
90,215.765,6,31685.61936130737,31512.647999999997
91,216.075,7,31731.14362150715,31521.947999999997
92,216.42,8,31781.807717535936,31531.262999999995
93,216.59,1,31806.77263441969,31535.172999999995
94,216.6,2,31808.24115894226,31535.462999999996
95,216.6,2,31808.24115894226,31535.462999999996
96,216.43,7,31783.276242058513,31526.962999999996
97,216.17,6,31745.0946044716,31515.263
98,216.28,5,31761.248374219907,31519.993
99,216.099,10,31734.668080361327,31507.684999999998
100,215.94,4,31711.31854045241,31499.576
101,215.39,2,31630.549691710865,31461.626
102,215.575,1,31657.717395378473,31475.686
103,215.78,2,31687.822148091233,31491.881
