Step,Current Stock Price,Action,Buy and Hold Portfolio Value,DQN Agent Portfolio Value
49,334.62,1,43486.20524127353,43449.531
50,334.75,10,43503.09964890417,43456.421
51,334.86,8,43517.39491689933,43460.82100000001
52,334.905,5,43523.242981079165,43462.351
53,334.7,4,43496.60179981546,43450.666000000005
54,334.81,8,43510.89706781062,43458.47600000001
55,334.71,7,43497.9013696332,43452.376000000004
56,334.855,8,43516.74513199046,43460.35100000001
57,334.914,8,43524.412593915134,43463.124
58,334.76,9,43504.39921872191,43456.96400000001
59,334.63,2,43487.50481109127,43452.804000000004
60,334.63,3,43487.50481109127,43452.80400000001
61,334.47,3,43466.711694007405,43444.16400000001
62,334.34,7,43449.817286376754,43435.71400000001
63,334.47,9,43466.711694007405,43443.38400000001
64,334.765,5,43505.04900363078,43457.54400000001
65,334.71,4,43497.9013696332,43453.804000000004
66,334.91,1,43523.89276598804,43469.80400000001
67,334.86,10,43517.39491689933,43465.70400000001
68,335.01,10,43536.88846416545,43475.00400000001
69,335.01,10,43536.88846416545,43475.00400000001
70,335.21,3,43562.87986052028,43482.204000000005
71,334.812,0,43511.15698177417,43462.30400000001
72,334.925,3,43525.84212071465,43467.95400000001
73,334.85,1,43516.09534708159,43463.379000000015
74,334.61,7,43484.90567145579,43448.019000000015
75,334.615,8,43485.55545636466,43448.30900000001
76,334.7,2,43496.60179981546,43452.55900000001
77,334.82,0,43512.19663762836,43459.399000000005
78,334.9,6,43522.593196170295,43463.959
79,334.87,9,43518.69448671707,43462.30900000001
80,334.91,3,43523.89276598804,43464.069
81,334.845,8,43515.44556217272,43460.429000000004
82,334.85,3,43516.09534708159,43460.66900000001
83,334.885,5,43520.643841443685,43462.769
84,334.93,6,43526.49190562352,43466.234000000004
85,334.86,8,43517.39491689933,43461.054000000004
86,334.746,3,43502.57982097707,43453.872
87,334.53,1,43474.509112913845,43438.10400000001
88,334.76,7,43504.39921872191,43455.35400000001
89,334.66,5,43491.403520544496,43448.554000000004
90,334.62,5,43486.20524127353,43445.234
91,334.4,10,43457.61470528321,43424.554000000004
92,334.25,0,43438.121158017086,43413.904
93,334.33,1,43448.517716559014,43419.584
94,334.365,3,43453.06621092111,43422.139
95,334.4,2,43457.61470528321,43424.974
96,333.904,10,43393.15604232322,43382.814
97,333.87,5,43388.737504942896,43380.638000000006
98,333.86,2,43387.437935125155,43379.838
99,333.54,0,43345.85170095742,43352.958
100,333.63,2,43357.547829317096,43360.518
101,333.6,7,43353.649119863876,43357.878000000004
102,333.532,1,43344.81204510322,43352.437999999995
103,333.88,7,43390.037074760636,43380.974
104,334.35,7,43451.1168561945,43415.754
105,334.29,6,43443.31943728805,43411.734
106,334.35,3,43451.1168561945,43415.574
107,334.34,10,43449.817286376754,43414.844
108,334.35,8,43451.1168561945,43415.394
109,334.47,6,43466.711694007405,43421.034
110,334.25,3,43438.121158017086,43411.13399999999
111,334.13,1,43422.52632020418,43404.293999999994
112,334.23,4,43435.522018381605,43410.293999999994
113,334.26,4,43439.420727834826,43412.484
114,334.35,1,43451.1168561945,43420.043999999994
115,334.16,5,43426.42502965741,43403.704
116,334.19,10,43430.32373911063,43406.58399999999
117,334.38,9,43455.01556564773,43420.263999999996
118,334.32,7,43447.218146741274,43416.78399999999
119,334.39,7,43456.31513546547,43420.49399999999
120,334.48,9,43468.011263825145,43424.81399999999
121,334.63,7,43487.50481109127,43430.66399999999
122,334.61,1,43484.90567145579,43429.94399999999
123,334.715,5,43498.551154542074,43434.143999999986
124,334.63,2,43487.50481109127,43428.873999999996
125,334.62,1,43486.20524127353,43428.19399999999
126,334.61,2,43484.90567145579,43427.484
127,334.67,7,43492.703090362236,43432.043999999994
128,334.725,7,43499.85072435982,43435.83899999999
129,334.72,3,43499.20093945095,43435.52399999999
130,334.72,8,43499.20093945095,43435.52399999999
131,334.908,7,43523.63285202449,43447.36799999999
132,334.75,7,43503.09964890417,43438.361999999994
133,334.67,3,43492.703090362236,43434.20199999999
134,334.682,2,43494.262574143526,43434.95799999999
135,334.703,7,43496.99167076078,43436.40699999999
136,334.64,3,43488.80438090901,43432.437999999995
137,334.674,8,43493.22291828933,43434.91999999999
138,334.62,0,43486.20524127353,43431.518
139,334.72,2,43499.20093945095,43437.81799999999
140,334.51,3,43471.909973278365,43423.327999999994
141,334.45,5,43464.11255437192,43418.64799999999
142,334.475,1,43467.361478916275,43420.897999999994
143,334.49,8,43469.310833642885,43422.26299999999
144,334.37,2,43453.71599582998,43412.90299999999
145,334.231,7,43435.65197536338,43401.36599999999
146,334.36,2,43452.41642601224,43411.04099999999
147,334.425,2,43460.86362982757,43416.240999999995
148,334.44,4,43462.81298455418,43417.50099999999
149,334.48,3,43468.011263825145,43421.22099999999
150,334.46,1,43465.41212418966,43419.260999999984
151,334.485,7,43468.661048734015,43421.73599999999
152,334.48,0,43468.011263825145,43421.28599999999
153,334.461,5,43465.542081171436,43419.575999999994
154,334.48,3,43468.011263825145,43421.456999999995
155,334.32,6,43447.218146741274,43404.97699999999
156,334.215,3,43433.57266365499,43394.68699999999
157,334.08,7,43416.028471115475,43380.91699999999
158,334.09,2,43417.328040933215,43381.836999999985
159,334.04,2,43410.83019184451,43377.08699999999
160,333.977,8,43402.64290199273,43370.912999999986
161,333.995,7,43404.98212766467,43372.42499999999
162,334.05,9,43412.129761662254,43376.60499999999
163,334.03,0,43409.53062202676,43375.38499999999
164,333.97,4,43401.73320312032,43371.72499999999
165,334.19,7,43430.32373911063,43388.00499999999
166,334.25,1,43438.121158017086,43392.02499999999
167,334.37,1,43453.71599582998,43400.42499999999
168,334.389,0,43456.1851784837,43401.79299999999
169,334.603,6,43483.99597258337,43417.20099999999
170,334.604,7,43484.12592956514,43417.26999999999
171,334.7,4,43496.60179981546,43423.317999999985
172,334.6,9,43483.60610163805,43415.71799999999
173,334.53,7,43474.509112913845,43411.44799999999
174,334.5,10,43470.610403460625,43409.79799999999
175,334.35,7,43451.1168561945,43403.49799999999
176,334.32,4,43447.218146741274,43402.35799999999
177,334.26,8,43439.420727834826,43398.997999999985
178,334.255,10,43438.770942925956,43398.75799999999
179,334.274,2,43441.240125579665,43399.44199999999
180,334.17,9,43427.72459947515,43394.76199999999
181,334.18,10,43429.02416929289,43395.12199999999
182,334.211,2,43433.05283572789,43395.95899999999
183,334.381,9,43455.1455226295,43402.24899999999
184,334.295,7,43443.96922219692,43399.66899999999
185,334.285,8,43442.66965237918,43399.39899999999
186,334.3,7,43444.61900710579,43399.74399999999
187,334.36,2,43452.41642601224,43401.003999999986
188,334.39,6,43456.31513546547,43401.933999999994
189,334.427,7,43461.12354379112,43403.043999999994
190,334.335,2,43449.167501467884,43400.55999999999
191,334.32,7,43447.218146741274,43400.00499999999
192,334.33,7,43448.517716559014,43400.344999999994
193,334.4,0,43457.61470528321,43402.51499999999
194,334.3,1,43444.61900710579,43399.41499999999
195,334.25,10,43438.121158017086,43397.66499999999
196,334.37,9,43453.71599582998,43400.90499999999
197,334.355,2,43451.76664110337,43400.57499999999
198,334.33,6,43448.517716559014,43399.774999999994
199,334.305,8,43445.26879201466,43398.99999999999
200,334.42,7,43460.2138449187,43402.104999999996
201,334.42,9,43460.2138449187,43402.10499999999
202,334.45,9,43464.11255437192,43402.70499999999
203,334.64,0,43488.80438090901,43405.74499999999
204,334.62,5,43486.20524127353,43405.42499999999
205,334.67,8,43492.703090362236,43407.62499999999
206,334.81,9,43510.89706781062,43412.94499999999
207,334.81,7,43510.89706781062,43412.94499999999
208,334.69,1,43495.30222999772,43409.58499999999
209,334.53,6,43474.509112913845,43404.30499999999
210,334.456,6,43464.892296262566,43401.93699999999
211,334.31,7,43445.918576923534,43397.41099999999
212,334.38,10,43455.01556564773,43399.37099999999
213,334.68,3,43494.00266017998,43405.67099999999
214,334.58,2,43481.00696200256,43401.97099999999
215,334.65,3,43490.10395072675,43405.190999999984
216,334.67,7,43492.703090362236,43406.35099999999
217,334.735,0,43501.15029417756,43409.79599999999
218,334.69,0,43495.30222999772,43407.410999999986
219,334.51,2,43471.909973278365,43397.870999999985
220,334.761,7,43504.52917570369,43412.93099999998
221,334.825,10,43512.84642253723,43416.38699999999
222,334.99,4,43534.28932452997,43423.15199999999
223,335.2,7,43561.58029070254,43435.33199999998
224,335.24,2,43566.77856997352,43437.45199999998
225,335.314,2,43576.395386624805,43441.89199999998
226,335.31,1,43575.875558697706,43441.62799999998
227,335.37,1,43583.672977604154,43445.76799999998
228,335.289,7,43573.14646208045,43439.93599999998
229,335.29,4,43573.276419062226,43440.00099999999
230,335.265,7,43570.02749451787,43438.07599999999
231,335.32,7,43577.175128515446,43441.92599999998
232,335.475,5,43597.31846069045,43451.690999999984
233,335.62,0,43616.1622230477,43463.14599999998
234,335.63,3,43617.46179286544,43463.93599999999
235,335.78,3,43636.955340131564,43476.83599999998
236,335.76,1,43634.356200496084,43474.995999999985
237,335.68,1,43623.95964195415,43467.55599999998
238,335.475,3,43597.31846069045,43448.285999999986
239,335.6,6,43613.56308341222,43460.660999999986
240,335.72,7,43629.15792122512,43472.06099999999
241,335.81,4,43640.85404958479,43479.80099999998
242,335.97,7,43661.64716666866,43494.840999999986
243,336.09,2,43677.24200448156,43505.04099999998
244,336.064,0,43673.86312295544,43502.726999999984
245,336.025,7,43668.794800666234,43499.25599999998
246,336.07,1,43674.64286484608,43502.90099999998
247,336.08,7,43675.94243466382,43503.730999999985
248,336.39,7,43716.22909901381,43526.980999999985
249,336.497,4,43730.13449606365,43534.25699999998
250,336.4,8,43717.528668831554,43526.49699999998
251,336.21,1,43692.83684229446,43513.576999999976
252,336.34,7,43709.7312499251,43522.80699999998
253,336.335,7,43709.08146501623,43522.48699999998
254,336.292,10,43703.49331479994,43519.99299999997
255,336.31,1,43705.83254047188,43520.784999999974
256,336.38,7,43714.92952919607,43524.144999999975
257,336.7,7,43756.5157633638,43538.22499999998
258,336.53,7,43734.42307646219,43531.424999999974
259,336.375,5,43714.2797442872,43525.84499999997
260,336.14,2,43683.73985357027,43511.979999999974
261,336.1,7,43678.54157429931,43509.33999999998
262,336.2,9,43691.537272476715,43515.339999999975
263,336.13,7,43682.44028375253,43511.979999999974
264,336.56,8,43738.321785915425,43530.89999999998
265,336.56,2,43738.321785915425,43530.89999999998
266,336.63,5,43747.41877463961,43534.18999999997
267,336.67,9,43752.61705391058,43536.86999999997
268,336.615,2,43745.469419913,43533.89999999997
269,336.61,7,43744.81963500413,43533.59499999997
270,336.61,5,43744.81963500413,43533.59499999997
271,336.545,2,43736.372431188815,43528.84999999998
272,336.17,2,43687.638563023494,43499.59999999998
273,335.975,1,43662.29695157753,43483.41499999998
274,335.915,4,43654.499532671085,43478.31499999997
275,336.2,7,43691.537272476715,43504.81999999997
276,336.135,0,43683.0900686614,43499.35999999997
277,336.115,9,43680.49092902592,43497.67999999997
278,336.08,10,43675.94243466382,43495.299999999974
279,336.2,7,43691.537272476715,43501.41999999997
280,336.246,2,43697.51529363833,43503.53599999997
281,336.11,7,43679.84114411705,43496.19199999997
282,336.18,7,43688.938132841235,43499.621999999974
283,336.194,0,43690.757530586074,43500.25199999997
284,336.19,2,43690.237702658975,43500.07199999997
285,336.315,9,43706.48232538075,43506.69699999997
286,336.26,3,43699.33469138317,43504.33199999997
287,336.16,1,43686.338993205754,43498.83199999998
288,335.97,7,43661.64716666866,43487.811999999976
289,335.9,4,43652.55017794447,43484.10199999997
290,335.88,3,43649.95103830899,43482.74199999997
291,335.82,7,43642.15361940253,43478.121999999974
292,335.832,6,43643.71310318382,43478.96199999997
293,335.66,7,43621.36050231867,43467.43799999997
294,335.59,7,43612.26351359447,43463.16799999997
295,335.65,7,43620.06093250092,43466.46799999997
296,335.63,4,43617.46179286544,43465.46799999997
297,335.67,2,43622.66007213641,43468.06799999997
298,335.611,9,43614.99261021173,43463.87899999997
299,335.56,2,43608.36480414125,43460.97199999997
300,335.37,7,43583.672977604154,43448.81199999997
301,335.36,8,43582.373407786414,43448.231999999975
302,335.453,2,43594.45940709141,43452.88199999997
303,335.49,2,43599.26781541706,43454.99099999997
304,335.55,7,43607.06523432351,43458.83099999998
305,335.72,7,43629.15792122512,43468.69099999998
306,335.755,9,43633.706415587214,43470.54599999997
307,335.46,3,43595.36910596383,43457.86099999997
308,335.47,4,43596.66867578158,43458.41099999997
309,335.65,3,43620.06093250092,43470.83099999997
310,335.625,10,43616.81200795657,43468.88099999997
311,335.69,1,43625.25921177189,43472.71599999997
312,335.98,7,43662.9467364864,43490.695999999974
313,335.85,7,43646.05232885576,43483.415999999976
314,335.743,7,43632.146931805924,43477.95899999997
315,335.48,6,43597.96824559932,43465.860999999975
316,335.62,7,43616.1622230477,43472.02099999997
317,335.78,1,43636.955340131564,43478.42099999997
318,335.65,8,43620.06093250092,43472.70099999997
319,335.46,3,43595.36910596383,43465.48099999997
320,335.44,2,43592.76996632835,43464.460999999974
321,335.48,2,43597.96824559932,43466.78099999997
322,335.52,1,43603.16652487028,43469.38099999998
323,335.34,10,43579.774268150926,43457.140999999974
324,335.48,10,43597.96824559932,43464.28099999997
325,335.43,0,43591.47039651061,43462.33099999998
326,335.711,10,43627.988308389155,43473.28999999997
327,335.4,1,43587.57168705738,43463.95999999997
328,335.41,7,43588.87125687513,43464.299999999974
329,335.41,9,43588.87125687513,43464.299999999974
330,335.4,1,43587.57168705738,43464.049999999974
331,335.51,0,43601.86695505254,43467.34999999998
332,335.69,7,43625.25921177189,43472.74999999997
333,335.59,10,43612.26351359447,43470.049999999974
334,335.5,8,43600.5673852348,43468.159999999974
335,335.49,7,43599.26781541706,43467.979999999974
336,335.48,5,43597.96824559932,43467.80999999997
337,335.6,7,43613.56308341222,43473.20999999997
