Step,Current Stock Price,Action,Buy and Hold Portfolio Value,DQN Agent Portfolio Value
0,40.595,7,415950.0,415950.0
1,40.595,1,415950.0,415950.0
2,40.601,9,416011.4780145338,415990.122
3,40.597,2,415970.4926715113,415975.41
4,40.6,4,416001.2316787782,415988.412
5,40.619,1,416195.91205813526,416093.216
6,40.611,1,416113.9413720901,416047.2
7,40.626,0,416267.6364084247,416136.84
8,40.623,2,416236.89740115777,416118.9119999999
9,40.609,2,416093.4487005789,416029.284
10,40.609,6,416093.4487005789,416029.284
11,40.593,1,415929.5073284888,415953.268
12,40.595,5,415950.0,415963.318
13,40.59,4,415898.76832122187,415931.668
14,40.6,9,416001.2316787782,416002.798
15,40.595,10,415950.0,415983.233
16,40.597,9,415970.4926715113,415987.147
17,40.609,1,416093.4487005789,416000.071
18,40.608,2,416083.20236482326,415998.536
19,40.613,10,416134.4340436015,416010.5609999999
20,40.614,3,416144.6803793571,416011.7639999999
21,40.62,10,416206.1583938909,416027.1179999999
22,40.621,6,416216.4047296466,416028.3979999999
23,40.616,5,416165.1730508684,416023.9179999999
24,40.635,7,416359.8534302254,416085.326
25,40.647,0,416482.809459293,416110.538
26,40.653,0,416544.2874738269,416123.1439999999
27,40.659,10,416605.7654883607,416135.75
28,40.659,9,416605.7654883607,416135.75
29,40.665,1,416667.2435028945,416139.22399999993
30,40.658,5,416595.519152605,416131.797
31,40.654,10,416554.5338095825,416118.381
32,40.652,1,416534.0411380712,416115.027
33,40.649,4,416503.30213080434,416108.715
34,40.647,8,416482.809459293,416101.25500000006
35,40.64,4,416411.0851090036,416085.5890000001
36,40.645,1,416462.3167877818,416104.7790000001
37,40.642,1,416431.5777805149,416092.3080000001
38,40.642,10,416431.5777805149,416092.3080000001
39,40.649,5,416503.30213080434,416107.9250000001
40,40.654,0,416554.5338095825,416129.0850000001
41,40.659,10,416605.7654883607,416150.24500000005
42,40.657,3,416585.27281684935,416146.013
43,40.658,4,416595.519152605,416149.346
44,40.667,3,416687.7361744058,416191.763
45,40.666,1,416677.4898386501,416186.222
46,40.659,1,416605.7654883607,416145.797
47,40.65,4,416513.5484665599,416091.815
48,40.659,0,416605.7654883607,416153.42
49,40.653,1,416544.2874738269,416112.35
50,40.664,7,416656.9971671389,416189.5040000001
51,40.666,2,416677.4898386501,416198.62400000007
52,40.668,5,416697.98251016135,416208.878
53,40.661,0,416626.258159872,416164.057
54,40.671,1,416728.7215174283,416228.08700000006
55,40.68,1,416820.938539229,416287.4330000001
56,40.672,9,416738.9678531839,416233.23300000007
57,40.68,3,416820.938539229,416263.04900000006
58,40.687,5,416892.6628895184,416295.9630000001
59,40.681,10,416831.1848749846,416259.459
60,40.684,1,416861.9238822515,416268.5850000001
61,40.684,4,416861.9238822515,416268.5850000001
62,40.692,8,416943.8945682966,416306.72100000014
63,40.697,5,416995.1262470748,416321.0260000001
64,40.696,1,416984.8799113191,416316.3230000001
65,40.687,0,416892.6628895184,416271.5120000001
66,40.692,5,416943.8945682966,416296.4070000001
67,40.692,7,416943.8945682966,416296.4070000001
68,40.673,8,416749.21418893954,416218.6970000001
69,40.661,3,416626.258159872,416189.24900000007
70,40.669,3,416708.228845917,416218.21700000006
71,40.671,5,416728.7215174283,416227.4410000001
72,40.673,8,416749.21418893954,416239.4750000001
73,40.68,10,416820.938539229,416264.7520000001
74,40.691,3,416933.648232541,416284.6180000001
75,40.685,8,416872.1702180072,416266.20400000014
76,40.694,1,416964.3872398079,416282.7820000001
77,40.694,10,416964.3872398079,416282.7820000001
78,40.718,0,417210.2992979432,416309.92600000015
79,40.737,4,417404.9796773002,416331.41500000015
80,40.749,10,417527.93570636783,416366.79100000014
81,40.751,10,417548.428377879,416369.7390000001
82,40.756,4,417599.6600566573,416373.4240000002
83,40.756,7,417599.6600566573,416373.4240000002
84,40.756,2,417599.6600566573,416373.4240000002
85,40.758,2,417620.1527281685,416378.5460000002
86,40.739,2,417425.47234881145,416315.3520000002
87,40.752,5,417558.6747136347,416367.5470000002
88,40.757,2,417609.9063924128,416395.3720000002
89,40.763,0,417671.38440694666,416431.55200000014
90,40.773,6,417773.8477645031,416491.8520000002
91,40.782,7,417866.0647863037,416529.8410000002
92,40.775,5,417794.3404360143,416510.63300000015
93,40.761,9,417650.89173543546,416446.0790000002
94,40.742,8,417456.21135607833,416397.87600000016
95,40.749,3,417527.93570636783,416408.5370000002
96,40.764,7,417681.6307427024,416450.94200000016
97,40.775,6,417794.3404360143,416471.1600000002
98,40.777,7,417814.8331075256,416473.7340000002
99,40.77,4,417743.10875723616,416467.8750000002
100,40.771,9,417753.3550929918,416470.5870000002
101,40.768,10,417722.6160857249,416466.11100000027
102,40.78,10,417845.5721147925,416475.06300000026
103,40.773,0,417773.8477645031,416479.5990000003
104,40.756,4,417599.6600566573,416490.6150000003
105,40.747,10,417507.4430348565,416476.89000000025
106,40.747,8,417507.4430348565,416476.89000000025
107,40.751,4,417548.428377879,416475.45400000026
108,40.755,2,417589.4137209017,416482.4780000002
109,40.755,0,417589.4137209017,416482.4780000003
110,40.763,5,417671.38440694666,416503.2940000003
111,40.763,9,417671.38440694666,416503.2940000003
112,40.765,2,417691.877078458,416508.2500000003
113,40.756,9,417599.6600566573,416478.99100000033
114,40.766,6,417702.1234142136,416496.88100000034
115,40.761,7,417650.89173543546,416490.61600000033
116,40.761,4,417650.89173543546,416490.6160000004
117,40.767,1,417712.3697499693,416506.7860000004
118,40.766,8,417702.1234142136,416503.7150000004
119,40.785,5,417896.8037935706,416538.7320000004
120,40.774,7,417784.09410025866,416495.4470000004
121,40.768,1,417722.6160857249,416480.0990000004
122,40.768,8,417722.6160857249,416480.0990000004
123,40.77,3,417743.10875723616,416483.6270000005
124,40.763,10,417671.38440694666,416462.4100000004
125,40.766,5,417702.1234142136,416466.9580000004
126,40.766,2,417702.1234142136,416466.9580000004
127,40.764,3,417681.6307427024,416458.27200000046
128,40.764,9,417681.6307427024,416458.2720000004
129,40.763,8,417671.38440694666,416455.3990000004
130,40.763,4,417671.38440694666,416455.3990000004
131,40.763,9,417671.38440694666,416455.3990000005
132,40.763,10,417671.38440694666,416455.3990000004
133,40.766,4,417702.1234142136,416458.2250000004
134,40.764,8,417681.6307427024,416452.6330000005
135,40.764,10,417681.6307427024,416452.6330000004
136,40.763,5,417671.38440694666,416451.7940000004
137,40.747,9,417507.4430348565,416400.8660000004
138,40.747,0,417507.4430348565,416400.8660000004
139,40.758,9,417620.1527281685,416420.1270000005
140,40.756,0,417599.6600566573,416418.1990000004
141,40.751,8,417548.428377879,416413.3790000004
142,40.735,7,417384.4870057889,416417.1870000004
143,40.743,4,417466.457691834,416410.2270000004
144,40.735,8,417384.4870057889,416399.4430000005
145,40.725,1,417282.02364823257,416391.3530000004
146,40.741,0,417445.9650203227,416411.8170000004
147,40.75,8,417538.18204212346,416423.3280000004
148,40.752,6,417558.6747136347,416424.8640000004
149,40.754,7,417579.167385146,416424.7140000004
150,40.757,2,417609.9063924128,416422.42500000034
151,40.747,6,417507.4430348565,416419.0750000004
152,40.746,9,417497.1966991009,416419.4530000003
153,40.705,4,417077.0969331199,416465.6600000004
154,40.719,6,417220.5456336988,416481.6760000004
155,40.711,9,417138.5749476537,416475.2680000004
156,40.713,4,417159.06761916494,416474.3080000004
157,40.718,0,417210.2992979432,416482.6130000004
158,40.716,5,417189.8066264319,416479.2910000004
159,40.707,9,417097.5896046311,416445.0730000005
160,40.702,2,417046.35792585294,416434.6130000005
