Step,Current Stock Price,Action,Buy and Hold Portfolio Value,DQN Agent Portfolio Value
0,213.436,8,31343.600000000002,31343.600000000002
1,213.28,0,31320.691017447854,31330.34
2,212.62,4,31223.768398958004,31274.24
3,213.095,1,31293.523313780246,31320.315000000002
4,213.141,9,31300.278526584083,31324.869
5,213.428,5,31342.425180381942,31347.828999999998
6,213.66,9,31376.49494930565,31370.101000000002
7,213.73,2,31386.77462096366,31375.490999999998
8,213.94,4,31417.613635937705,31392.921000000002
9,214.03,2,31430.83035664087,31401.470999999998
10,213.82,5,31399.991341666824,31380.470999999998
11,213.7,7,31382.36904739594,31367.150999999998
12,213.64,10,31373.5579002605,31361.150999999998
13,213.995,7,31425.690520811862,31387.775999999998
14,213.92,6,31414.676586892558,31382.676
15,214.17,0,31451.389699956897,31398.925999999996
16,214.12,2,31444.047077344032,31395.676
17,214.522,1,31503.081763151484,31425.021999999997
18,214.52,10,31502.788058246973,31424.869999999995
19,214.418,6,31487.809108116722,31419.055999999997
20,214.445,0,31491.77412432767,31420.540999999997
21,214.565,6,31509.39641859855,31427.140999999996
22,214.77,6,31539.50117131131,31438.005999999998
23,214.67,9,31524.815926085572,31432.905999999995
24,214.889,2,31556.976613129937,31441.885
25,214.923,5,31561.969596506682,31443.619
26,214.49,2,31498.382484679252,31411.576999999997
27,214.209,1,31457.116945594935,31388.816
28,214.64,1,31520.41035251785,31425.019999999997
29,214.8,3,31543.90674487903,31438.940000000002
30,214.86,2,31552.717892014472,31444.64
31,214.96,9,31567.403137240206,31454.64
32,215.14,1,31593.836578646526,31469.039999999997
33,215.09,7,31586.49395603366,31464.89
34,215.075,3,31584.2911692498,31463.765
35,215.155,9,31596.039365430388,31470.565
36,215.536,9,31651.99014974044,31496.473
37,215.826,7,31694.57736089507,31512.423000000003
38,215.951,6,31712.93391742724,31518.673000000003
39,216.05,0,31727.47231020072,31523.425000000003
40,215.851,5,31698.248672201506,31513.873
41,215.87,3,31701.038868794396,31515.241
42,215.5,8,31646.703461459176,31484.531000000003
43,215.538,7,31652.283854644957,31487.229000000003
44,215.47,3,31642.297887891455,31482.877
45,215.036,8,31578.563923611764,31449.893000000004
46,214.88,2,31555.654941059616,31439.753000000004
47,215.21,10,31604.116250304545,31463.843
48,215.541,6,31652.724412001728,31482.048000000003
49,215.582,4,31658.745362544276,31484.220999999998
50,215.76,1,31684.885099046085,31496.859
51,215.525,0,31650.37477276561,31479.469
52,215.412,5,31633.78044566053,31471.107000000004
53,215.828,1,31694.871065799587,31509.379
54,215.855,4,31698.836082010534,31511.917
55,216.336,5,31769.47211154632,31561.941000000006
56,216.45,3,31786.213291103657,31574.936999999998
57,216.5,8,31793.555913716526,31580.837
58,216.55,6,31800.898536329394,31585.887000000002
59,216.37,3,31774.46509492307,31568.607
60,216.708,7,31824.101223786056,31603.421
61,216.743,0,31829.241059615062,31606.676
62,216.879,5,31849.212993122062,31619.324
63,216.67,3,31818.520830600275,31597.17
64,216.725,10,31826.59771547443,31603.274999999998
65,216.692,10,31821.75158454994,31600.503
66,216.48,6,31790.618864671378,31587.146999999997
67,216.635,10,31813.38099477127,31596.446999999996
68,217.07,2,31877.261811503216,31616.021999999997
69,216.993,8,31865.9541726794,31611.786999999997
