Step,Current Stock Price,Action,Buy and Hold Portfolio Value,DQN Agent Portfolio Value
111,39.625,6,13983.997218007082,13965.640999999992
112,39.592,3,13972.351239251391,13959.766999999993
113,39.615,8,13980.46813353566,13964.458999999993
114,39.605,2,13976.939049064238,13962.718999999994
115,39.595,1,13973.409964592816,13960.808999999994
116,39.6,9,13975.174506828529,13961.803999999993
117,39.61,3,13978.703591299949,13963.403999999993
118,39.61,3,13978.703591299949,13963.403999999993
119,39.65,0,13992.819929185634,13971.883999999991
120,39.665,7,13998.113555892767,13975.063999999991
121,39.665,7,13998.113555892767,13975.063999999991
122,39.655,7,13994.584471421345,13973.343999999994
123,39.675,9,14001.642640364187,13976.443999999992
124,39.675,10,14001.642640364187,13976.443999999992
125,39.675,9,14001.642640364187,13976.443999999992
126,39.68,0,14003.407182599898,13976.818999999992
127,39.68,5,14003.407182599898,13976.818999999992
128,39.685,9,14005.17172483561,13977.538999999993
129,39.69,10,14006.93626707132,13978.118999999992
130,39.685,3,14005.17172483561,13977.683999999994
131,39.7,7,14010.465351542742,13979.573999999993
132,39.655,9,13994.584471421345,13974.443999999992
133,39.645,1,13991.055386949925,13973.523999999992
134,39.655,9,13994.584471421345,13974.573999999993
135,39.625,9,13983.997218007082,13972.053999999991
136,39.628,3,13985.055943348509,13972.25799999999
137,39.64,4,13989.290844714214,13973.57799999999
138,39.633,6,13986.82048558422,13972.47199999999
139,39.669,10,13999.525189681335,13977.907999999989
140,39.65,8,13992.819929185634,13975.741999999991
141,39.655,5,13994.584471421345,13976.22699999999
142,39.631,4,13986.114668689934,13972.386999999992
143,39.635,2,13987.526302478502,13973.17899999999
144,39.655,10,13994.584471421345,13977.438999999991
145,39.635,5,13987.526302478502,13974.23899999999
146,39.645,10,13991.055386949925,13976.31899999999
147,39.665,9,13998.113555892767,13979.438999999991
148,39.645,1,13991.055386949925,13976.938999999991
149,39.665,9,13998.113555892767,13979.658999999992
150,39.68,9,14003.407182599898,13981.29399999999
151,39.645,2,13991.055386949925,13978.213999999993
152,39.62,6,13982.232675771369,13975.36399999999
153,39.62,5,13982.232675771369,13975.363999999992
154,39.615,5,13980.46813353566,13974.518999999993
155,39.595,9,13973.409964592816,13970.238999999992
156,39.604,4,13976.586140617097,13971.786999999993
157,39.59,4,13971.645422357107,13968.874999999993
158,39.555,1,13959.293626707133,13960.614999999993
159,39.57,6,13964.587253414264,13964.229999999994
160,39.6,7,13975.174506828529,13971.099999999993
161,39.625,9,13983.997218007082,13976.274999999994
162,39.6,1,13975.174506828529,13972.124999999993
163,39.64,10,13989.290844714214,13979.124999999993
164,39.64,0,13989.290844714214,13979.124999999993
165,39.645,10,13991.055386949925,13979.784999999993
166,39.633,4,13986.82048558422,13978.596999999994
167,39.618,4,13981.526858877087,13976.361999999994
168,39.63,9,13985.761760242793,13978.629999999994
169,39.625,8,13983.997218007082,13977.869999999994
170,39.66,7,13996.349013657054,13982.419999999993
171,39.665,8,13998.113555892767,13983.004999999994
172,39.677,7,14002.348457258473,13984.204999999994
173,39.665,3,13998.113555892767,13983.124999999995
174,39.645,0,13991.055386949925,13980.544999999995
175,39.65,3,13992.819929185634,13981.189999999995
176,39.655,9,13994.584471421345,13981.999999999996
177,39.665,10,13998.113555892767,13983.299999999996
178,39.645,9,13991.055386949925,13981.339999999997
179,39.611,9,13979.05649974709,13978.653999999995
180,39.63,8,13985.761760242793,13979.869999999995
181,39.625,4,13983.997218007082,13979.594999999996
182,39.615,7,13980.46813353566,13978.454999999996
183,39.61,8,13978.703591299949,13977.939999999995
184,39.625,8,13983.997218007082,13979.259999999995
185,39.625,7,13983.997218007082,13979.259999999995
186,39.68,7,14003.407182599898,13982.999999999995
187,39.73,4,14021.052604957005,13986.099999999995
188,39.73,9,14021.052604957005,13986.099999999995
189,39.72,9,14017.523520485584,13985.139999999996
190,39.69,0,14006.93626707132,13982.829999999994
191,39.7,8,14010.465351542742,13983.599999999995
192,39.7,1,14010.465351542742,13983.599999999997
193,39.66,3,13996.349013657054,13980.399999999996
194,39.63,3,13985.761760242793,13976.799999999997
195,39.73,7,14021.052604957005,13992.199999999997
196,39.699,6,14010.112443095599,13987.890999999998
197,39.66,3,13996.349013657054,13982.703999999998
198,39.66,10,13996.349013657054,13982.703999999998
199,39.7,10,14010.465351542742,13987.663999999997
200,39.66,7,13996.349013657054,13983.943999999998
201,39.7,3,14010.465351542742,13987.304
202,39.67,4,13999.878098128478,13983.583999999999
203,39.67,1,13999.878098128478,13983.583999999999
204,39.7,6,14010.465351542742,13988.923999999999
205,39.679,7,14003.054274152757,13985.354
206,39.67,0,13999.878098128478,13983.976999999999
207,39.67,3,13999.878098128478,13983.976999999999
208,39.67,9,13999.878098128478,13983.976999999999
209,39.7,1,14010.465351542742,13988.357
210,39.66,10,13996.349013657054,13982.116999999998
211,39.7,9,14010.465351542742,13986.796999999999
212,39.67,2,13999.878098128478,13983.976999999999
213,39.67,9,13999.878098128478,13983.976999999999
214,39.7,8,14010.465351542742,13986.857
215,39.67,1,13999.878098128478,13984.396999999999
216,39.66,3,13996.349013657054,13983.447
217,39.68,9,14003.407182599898,13986.107
218,39.68,8,14003.407182599898,13986.107
219,39.67,2,13999.878098128478,13985.197
220,39.69,10,14006.93626707132,13987.536999999998
221,39.67,5,13999.878098128478,13985.776999999998
222,39.69,5,14006.93626707132,13988.856999999998
223,39.67,1,13999.878098128478,13984.796999999999
224,39.67,7,13999.878098128478,13984.796999999999
225,39.67,6,13999.878098128478,13984.796999999999
226,39.67,9,13999.878098128478,13984.796999999999
227,39.66,8,13996.349013657054,13983.356999999998
228,39.69,0,14006.93626707132,13987.046999999999
229,39.68,7,14003.407182599898,13985.817
230,39.67,6,13999.878098128478,13984.706999999999
231,39.67,9,13999.878098128478,13984.707
232,39.69,9,14006.93626707132,13986.407
233,39.68,3,14003.407182599898,13985.726999999999
234,39.68,9,14003.407182599898,13985.726999999999
235,39.68,9,14003.407182599898,13985.726999999999
236,39.73,3,14021.052604957005,13989.276999999998
237,39.75,3,14028.110773899849,13991.536999999998
238,39.73,9,14021.052604957005,13988.576999999997
239,39.73,0,14021.052604957005,13988.576999999997
240,39.73,8,14021.052604957005,13988.576999999997
241,39.74,9,14024.581689428427,13989.596999999998
242,39.73,3,14021.052604957005,13988.776999999998
243,39.75,6,14028.110773899849,13991.216999999997
244,39.7,2,14010.465351542742,13985.416999999998
245,39.75,2,14028.110773899849,13992.366999999997
246,39.7,9,14010.465351542742,13984.366999999997
247,39.75,7,14028.110773899849,13990.766999999996
248,39.7,9,14010.465351542742,13984.966999999997
249,39.75,2,14028.110773899849,13989.616999999997
250,39.726,7,14019.640971168437,13986.784999999996
251,39.7,7,14010.465351542742,13984.002999999997
252,39.72,9,14017.523520485584,13985.942999999997
253,39.73,9,14021.052604957005,13986.722999999998
254,39.7,10,14010.465351542742,13984.832999999999
255,39.73,3,14021.052604957005,13986.272999999997
256,39.72,1,14017.523520485584,13985.342999999997
257,39.7,9,14010.465351542742,13983.242999999999
258,39.7,9,14010.465351542742,13983.242999999999
259,39.7,8,14010.465351542742,13983.243
260,39.7,5,14010.465351542742,13983.243
261,39.7,10,14010.465351542742,13983.243
262,39.7,5,14010.465351542742,13983.242999999999
263,39.719,7,14017.170612038442,13986.321
264,39.72,7,14017.523520485584,13986.466999999999
265,39.702,7,14011.171168437026,13984.091
266,39.7,10,14010.465351542742,13983.853
267,39.7,4,14010.465351542742,13983.853
268,39.7,9,14010.465351542742,13983.853
269,39.72,2,14017.523520485584,13986.133
270,39.72,7,14017.523520485584,13986.133
271,39.71,9,14013.994436014164,13984.893
272,39.7,1,14010.465351542742,13983.893
273,39.71,8,14013.994436014164,13985.013
274,39.72,9,14017.523520485584,13985.973000000002
275,39.71,9,14013.994436014164,13985.203000000001
276,39.71,7,14013.994436014164,13985.203000000001
277,39.7,9,14010.465351542742,13984.643000000002
278,39.7,8,14010.465351542742,13984.643000000002
279,39.7,10,14010.465351542742,13984.643000000004
