Step,Current Stock Price,Action,Buy and Hold Portfolio Value,DQN Agent Portfolio Value
0,213.436,8,31343.600000000002,31343.600000000002
1,213.28,8,31320.691017447854,31330.34
2,212.62,4,31223.768398958004,31282.160000000003
3,213.095,0,31293.523313780246,31323.485
4,213.141,8,31300.278526584083,31327.487
5,213.428,6,31342.425180381942,31348.725000000002
6,213.66,9,31376.49494930565,31365.197
7,213.73,6,31386.77462096366,31369.186999999998
8,213.94,4,31417.613635937705,31380.737
9,214.03,4,31430.83035664087,31387.307
10,213.82,1,31399.991341666824,31369.037
11,213.7,2,31382.36904739594,31358.357
12,213.64,10,31373.5579002605,31352.717
13,213.995,1,31425.690520811862,31377.922
14,213.92,7,31414.676586892558,31372.372
15,214.17,5,31451.389699956897,31389.122
16,214.12,8,31444.047077344032,31384.822
17,214.522,2,31503.081763151484,31414.57
18,214.52,0,31502.788058246973,31414.408000000003
19,214.418,3,31487.809108116722,31406.146
20,214.445,0,31491.77412432767,31408.576
21,214.565,1,31509.39641859855,31419.375999999997
22,214.77,4,31539.50117131131,31438.236
23,214.67,8,31524.815926085572,31428.036
24,214.889,3,31556.976613129937,31447.089
25,214.923,0,31561.969596506682,31450.319
26,214.49,10,31498.382484679252,31409.183999999997
27,214.209,3,31457.116945594935,31388.951999999997
28,214.64,8,31520.41035251785,31424.725
29,214.8,9,31543.90674487903,31436.085
30,214.86,7,31552.717892014472,31439.505
31,214.96,5,31567.403137240206,31444.705
32,215.14,8,31593.836578646526,31458.204999999998
33,215.09,4,31586.49395603366,31455.004999999997
34,215.075,2,31584.2911692498,31453.805
35,215.155,1,31596.039365430388,31460.685
36,215.536,5,31651.99014974044,31494.594
37,215.826,3,31694.57736089507,31524.463999999996
38,215.951,6,31712.93391742724,31538.089
39,216.05,7,31727.47231020072,31548.385
40,215.851,5,31698.248672201506,31529.678999999996
41,215.87,10,31701.038868794396,31531.712
42,215.5,7,31646.703461459176,31501.742
43,215.538,9,31652.283854644957,31504.516
44,215.47,0,31642.297887891455,31500.503999999997
45,215.036,5,31578.563923611764,31474.897999999997
46,214.88,3,31555.654941059616,31462.417999999998
