Step,Current Stock Price,Action,Buy and Hold Portfolio Value,DQN Agent Portfolio Value
53,124.99,5,22535.938890227255,22468.727999999996
54,125.002,0,22538.102513450573,22470.08399999999
55,125.057,7,22548.01911989079,22476.29899999999
56,125.08,9,22552.16606440215,22478.644999999993
57,125.195,5,22572.900786958966,22488.074999999993
58,125.06,0,22548.56002569662,22473.764999999992
59,125.03,5,22543.15096763832,22470.584999999992
60,125.075,9,22551.26455472577,22476.164999999994
61,125.197,9,22573.26139082952,22488.364999999994
62,125.2,9,22573.80229663535,22488.604999999996
63,125.16,5,22566.590219224283,22486.044999999995
64,125.14,3,22562.98418051875,22484.204999999994
65,125.06,3,22548.56002569662,22475.804999999997
66,125.06,10,22548.56002569662,22475.804999999997
67,125.14,3,22562.98418051875,22482.764999999996
68,125.017,7,22540.807042479722,22470.464999999997
69,124.91,9,22521.514735405122,22460.834999999995
70,124.968,9,22531.97224765117,22465.010999999995
71,124.99,0,22535.938890227255,22466.286999999997
72,125.02,8,22541.34794828555,22468.026999999995
73,124.965,1,22531.43134184534,22465.276999999995
74,124.96,6,22530.529832168955,22464.996999999992
75,124.83,9,22507.09058058299,22457.97699999999
76,124.87,4,22514.30265799406,22459.736999999994
77,124.945,8,22527.825303139805,22465.061999999994
78,124.87,9,22514.30265799406,22460.486999999994
79,124.65,8,22474.6362322332,22449.706999999995
80,124.68,1,22480.0452902915,22450.966999999997
81,124.635,3,22471.93170320405,22448.806999999993
82,124.727,5,22488.5194812495,22454.970999999994
83,124.73,9,22489.060387055328,22455.255999999994
84,124.804,2,22502.4027302658,22460.879999999994
85,124.76,8,22494.469445113627,22457.095999999994
86,124.905,9,22520.61322572874,22467.825999999994
87,124.68,0,22480.0452902915,22454.325999999994
88,124.73,3,22489.060387055328,22457.325999999994
89,124.68,9,22480.0452902915,22453.425999999996
90,124.64,3,22472.83321288043,22450.905999999995
91,124.64,9,22472.83321288043,22450.905999999995
92,124.71,9,22485.454348349795,22455.385999999995
93,124.78,3,22498.07548381916,22459.025999999994
