Step,Current Stock Price,Action,Buy and Hold Portfolio Value,DQN Agent Portfolio Value
0,179.06,0,27906.0,27906.0
1,179.03,0,27901.324583938345,27903.0
2,179.055,6,27905.220763989724,27905.5
3,179.09,3,27910.675416061655,27908.824999999997
4,179.14,9,27918.467776164412,27914.024999999998
5,179.1,5,27912.233888082206,27910.665
6,179.14,1,27918.467776164412,27914.704999999998
7,179.13,1,27916.90930414386,27913.674999999996
8,179.23,0,27932.49402434938,27924.174999999996
9,179.23,7,27932.49402434938,27924.174999999996
10,179.185,2,27925.480900256898,27919.899999999998
11,179.18,7,27924.701664246622,27919.394999999997
12,179.2,7,27927.818608287722,27921.214999999997
13,179.195,0,27927.039372277446,27920.804999999993
14,179.17,2,27923.143192226067,27918.754999999994
15,179.16,1,27921.584720205516,27917.864999999994
16,179.11,7,27913.79236010276,27913.265
17,179.13,5,27916.90930414386,27914.924999999996
18,179.14,1,27918.467776164412,27915.934999999994
19,179.14,9,27918.467776164412,27915.93499999999
20,179.14,10,27918.467776164412,27915.93499999999
21,179.17,9,27923.143192226067,27917.824999999993
22,179.1,9,27912.233888082206,27914.254999999997
23,179.12,5,27915.350832123313,27915.074999999997
24,179.11,1,27913.79236010276,27914.384999999995
25,179.13,0,27916.90930414386,27915.844999999994
26,179.08,4,27909.116944041107,27912.194999999992
27,179.05,2,27904.44152797945,27909.524999999994
28,179.08,5,27909.116944041107,27912.374999999996
29,179.155,6,27920.805484195243,27920.624999999993
30,179.05,4,27904.44152797945,27909.59999999999
31,179.05,5,27904.44152797945,27909.59999999999
32,179.1,0,27912.233888082206,27915.84999999999
33,179.085,8,27909.89618005138,27913.97499999999
34,178.83,0,27870.15514352731,27886.689999999995
35,178.85,9,27873.272087568414,27888.829999999994
36,178.84,8,27871.713615547862,27887.969999999994
37,178.95,1,27888.85680777393,27896.109999999993
38,178.79,1,27863.9212554451,27883.629999999994
39,178.89,3,27879.505975650616,27891.729999999992
40,178.95,0,27888.85680777393,27897.249999999993
41,178.97,0,27891.973751815032,27899.089999999997
42,178.98,8,27893.532223835584,27900.009999999995
43,179.15,3,27920.026248184968,27913.439999999995
44,179.0,9,27896.64916787669,27899.939999999995
45,178.99,9,27895.09069585614,27899.219999999994
46,178.83,9,27870.15514352731,27889.939999999995
47,178.93,0,27885.73986373283,27894.64
48,178.8,2,27865.479727465656,27888.53
49,178.87,10,27876.389031609517,27892.519999999997
50,178.93,0,27885.73986373283,27895.1
51,178.93,1,27885.73986373283,27895.1
52,178.93,2,27885.73986373283,27895.099999999995
53,178.94,10,27887.298335753378,27895.679999999997
54,178.93,2,27885.73986373283,27895.239999999998
55,178.87,3,27876.389031609517,27891.939999999995
56,178.92,0,27884.181391712274,27895.439999999995
57,178.85,5,27873.272087568414,27890.539999999997
58,178.88,6,27877.94750363007,27893.269999999997
59,178.88,5,27877.94750363007,27893.269999999997
60,178.91,3,27882.622919691723,27896.389999999996
61,178.85,0,27873.272087568414,27889.729999999996
62,178.84,8,27871.713615547862,27888.62
63,178.84,6,27871.713615547862,27888.619999999995
64,178.75,5,27857.687367362894,27880.429999999997
65,178.75,2,27857.687367362894,27880.429999999997
66,178.77,0,27860.804311404,27882.649999999998
67,178.69,2,27848.336535239585,27873.769999999997
68,178.51,2,27820.28403886965,27853.069999999992
69,178.56,7,27828.07639897241,27859.019999999997
70,178.67,4,27845.219591198478,27870.899999999994
71,178.78,0,27862.36278342455,27883.769999999997
72,178.8,0,27865.479727465656,27886.11
73,178.77,7,27860.804311404,27882.6
74,178.73,1,27854.57042332179,27878.359999999993
75,178.69,10,27848.336535239585,27874.04
76,178.61,1,27835.868759075172,27867.559999999998
77,178.7,2,27849.895007260133,27875.119999999995
78,178.6,10,27834.310287054617,27866.019999999997
79,178.65,10,27842.10264715738,27869.47
80,178.7,3,27849.895007260133,27872.07
81,178.74,6,27856.128895342346,27874.75
82,178.75,10,27857.687367362894,27875.39
83,178.8,3,27865.479727465656,27877.79
84,178.76,9,27859.245839383446,27875.23
85,178.8,7,27865.479727465656,27877.309999999998
86,178.82,0,27868.596671506755,27878.25
87,178.82,6,27868.596671506755,27878.25
88,178.77,2,27860.804311404,27876.0
89,178.77,6,27860.804311404,27876.0
90,178.85,4,27873.272087568414,27880.32
91,178.87,8,27876.389031609517,27881.8
92,178.83,6,27870.15514352731,27879.28
93,178.88,3,27877.94750363007,27882.28
